"code_insee","communes","inscrits_29_02_16","inscrits","abstentions","votants","participation_p","blancs","nuls","exprimes","oui_v","oui_p","non_v","non_p","tot_voix"
"44001","Abbaretz",1384,1382,486,896,"64.83",1,4,891,610,"68.46",281,"31.54",891
"44002","Aigrefeuille-sur-Maine",2519,2520,1284,1236,"49.05",6,6,1224,590,"48.20",634,"51.80",1224
"44003","Ancenis",5593,5588,2947,2641,"47.26",17,25,2599,1624,"62.49",975,"37.51",2599
"44005","Chaumes-en-Retz",4402,4391,2232,2159,"49.17",16,10,2133,1124,"52.70",1009,"47.30",2133
"44006","Assérac",1541,1530,717,813,"53.14",7,5,801,505,"63.05",296,"36.95",801
"44007","Avessac",1780,1773,669,1104,"62.27",1,5,1098,696,"63.39",402,"36.61",1098
"44009","Basse-Goulaine",7068,7060,3272,3788,"53.65",30,22,3736,2087,"55.86",1649,"44.14",3736
"44010","Batz-sur-Mer",2780,2767,1455,1312,"47.42",5,6,1301,778,"59.80",523,"40.20",1301
"44012","La Bernerie-en-Retz",2434,2426,1113,1313,"54.12",12,4,1297,673,"51.89",624,"48.11",1297
"44013","Besné",2028,2026,960,1066,"52.62",7,8,1051,663,"63.08",388,"36.92",1051
"44014","Le Bignon",2732,2733,1260,1473,"53.90",4,9,1460,774,"53.01",686,"46.99",1460
"44015","Blain",6753,6752,2417,4335,"64.20",49,0,4286,2476,"57.77",1810,"42.23",4286
"44016","La Boissière-du-Doré",685,683,296,387,"56.66",1,3,383,249,"65.01",134,"34.99",383
"44017","Bonnoeuvre",448,445,157,288,"64.72",8,2,278,165,"59.35",113,"40.65",278
"44018","Bouaye",5425,5417,2304,3113,"57.47",30,24,3059,1826,"59.69",1233,"40.31",3059
"44019","Bouée",661,659,260,399,"60.55",2,2,395,209,"52.91",186,"47.09",395
"44020","Bouguenais",13583,13566,6276,7290,"53.74",35,37,7218,3656,"50.65",3562,"49.35",7218
"44021","Villeneuve-en-Retz",3452,3450,1800,1650,"47.83",7,9,1634,910,"55.69",724,"44.31",1634
"44022","Boussay",1954,1948,1001,947,"48.61",13,8,926,497,"53.67",429,"46.33",926
"44023","Bouvron",1996,1989,614,1375,"69.13",9,0,1366,690,"50.51",676,"49.49",1366
"44024","Brains",2069,2066,888,1178,"57.02",9,3,1166,600,"51.46",566,"48.54",1166
"44025","Campbon",2755,2759,903,1856,"67.27",9,13,1834,949,"51.74",885,"48.26",1834
"44026","Carquefou",14612,14609,7248,7361,"50.39",28,27,7306,4781,"65.44",2525,"34.56",7306
"44027","Casson",1474,1475,495,980,"66.44",7,5,968,353,"36.47",615,"63.53",968
"44028","Le Cellier",2851,2837,1272,1565,"55.16",11,6,1548,956,"61.76",592,"38.24",1548
"44029","Divatte-sur-Loire",5086,5085,2550,2535,"49.85",8,24,2503,1617,"64.60",886,"35.40",2503
"44030","La Chapelle-des-Marais",2640,2635,1206,1429,"54.23",13,14,1402,885,"63.12",517,"36.88",1402
"44031","La Chapelle-Glain",580,575,258,317,"55.13",1,3,313,241,"77.00",72,"23.00",313
"44032","La Chapelle-Heulin",2316,2313,1177,1136,"49.11",12,5,1119,660,"58.98",459,"41.02",1119
"44033","La Chapelle-Launay",2228,2233,825,1408,"63.05",10,14,1384,749,"54.12",635,"45.88",1384
"44035","La Chapelle-sur-Erdre",15824,15777,6834,8943,"56.68",43,42,8858,4311,"48.67",4547,"51.33",8858
"44036","Châteaubriant",9018,8996,4532,4464,"49.62",32,19,4413,3233,"73.26",1180,"26.74",4413
"44037","Château-Thébaud",2131,2128,931,1197,"56.25",7,10,1180,620,"52.54",560,"47.46",1180
