bureau,nom_ecole,inscrits,emarges,procurations,abstentions,votants,blancs,nuls,exprimes,oui,non
111,"Ecole Maternelle ""Molière""",866,421,19,44,421,6,3,412,192,220
112,"Ecole Maternelle ""Molière""",958,431,29,52,431,2,1,428,161,267
113,"Ecole Maternelle ""Molière""",865,351,12,51,351,3,1,347,133,214
114,"Ecole Maternelle ""Molière""",905,416,25,48,416,2,2,412,166,246
121,"Groupe Scolaire ""Stalingrad""",918,423,18,49,423,2,5,416,181,235
122,"Groupe Scolaire ""Stalingrad""",921,472,10,44,472,3,2,467,193,274
123,"Groupe Scolaire ""Stalingrad""",960,455,23,50,455,2,1,452,196,256
131,"Ecole Maternelle ""Sully""",962,490,28,47,490,4,0,486,236,250
132,"Ecole Maternelle ""Sully""",921,436,19,48,436,3,1,432,207,225
133,"Ecole Maternelle ""Sully""",922,448,45,47,450,1,1,448,187,261
134,"Ecole Maternelle ""Sully""",946,458,22,48,459,8,5,446,189,257
141,"Ecole Primaire ""Noire""",928,432,25,49,432,2,1,429,193,236
142,"Ecole Primaire ""Noire""",881,440,22,44,439,2,4,433,172,261
143,"Ecole Primaire ""Noire""",961,510,25,45,510,2,5,503,255,248
144,"Ecole Primaire ""Noire""",938,461,10,47,462,2,3,457,171,286
151,"Ecole Primaire ""Léon Say""",904,492,18,41,492,3,7,482,264,218
152,"Ecole Primaire ""Léon Say""",968,519,18,44,519,1,4,514,287,227
153,"Ecole Primaire ""Léon Say""",948,515,17,43,516,4,2,510,279,231
154,"Ecole Primaire ""Léon Say""",892,454,13,43,454,4,2,448,210,238
161,"Ecole Primaire ""Charles Lebourg""",914,436,18,47,436,0,7,429,229,200
162,"Ecole Primaire ""Charles Lebourg""",892,461,21,43,461,2,3,456,232,224
163,"Ecole Primaire ""Charles Lebourg""",861,404,20,45,404,0,3,401,191,210
171,"Ecole Maternelle ""Fellonneau""",898,452,26,44,452,4,3,445,212,233
172,"Ecole Maternelle ""Fellonneau""",911,443,20,46,443,2,3,438,203,235
173,"Ecole Maternelle ""Fellonneau""",926,513,14,41,513,5,3,505,294,211
174,"Ecole Maternelle ""Fellonneau""",927,511,30,41,510,1,2,507,245,262
175,"Ecole Maternelle ""Fellonneau""",884,411,30,47,411,0,0,411,154,257
181,"Ecole Primaire ""Jean Jaures""",902,302,16,59,303,3,5,295,132,163
182,"Ecole Primaire ""Jean Jaures""",563,266,4,29,266,2,1,263,129,134
211,"Ecole Maternelle ""Henri Bergson""",919,379,12,54,379,0,0,379,146,233
212,"Ecole Maternelle ""Henri Bergson""",952,248,0,70,249,2,2,245,135,110
213,"Ecole Maternelle ""Henri Bergson""",876,207,3,66,208,1,2,205,102,103
221,"Ecole Maternelle ""Louis Guiotton""",870,410,9,46,410,4,3,403,230,173
222,"Ecole Maternelle ""Louis Guiotton""",905,360,17,54,360,3,4,353,137,216
223,"Ecole Maternelle ""Louis Guiotton""",836,493,18,34,493,2,5,486,228,258
224,"Ecole Maternelle ""Louis Guiotton""",915,442,12,47,442,6,0,436,205,231
231,"Ecole Primaire ""Gay Lussac""",875,439,12,43,439,3,4,432,239,193
232,"Ecole Primaire ""Gay Lussac""",871,486,26,38,486,7,3,476,263,213
233,"Ecole Primaire ""Gay Lussac""",886,448,14,43,448,1,5,442,204,238
234,"Ecole Primaire ""Gay Lussac""",874,437,17,43,437,1,5,431,209,222
241,"Ecole Maternelle ""Agenêts""",858,397,17,46,397,4,2,391,196,195
242,"Ecole Maternelle ""Agenêts""",857,466,30,39,466,4,2,460,277,183
243,"Ecole Maternelle ""Agenêts""",834,427,25,40,426,0,2,424,246,178
244,"Ecole Maternelle ""Agenêts""",819,405,16,41,405,1,2,402,211,191
251,"Ecole Elementaire ""François Dallet""",1025,486,16,53,486,4,2,480,254,226
252,"Ecole Elementaire ""François Dallet""",999,567,21,43,567,4,4,559,338,221
253,"Ecole Elementaire ""François Dallet""",1007,446,7,56,446,2,4,440,251,189
254,"Ecole Elementaire ""François Dallet""",1022,520,14,50,520,2,4,514,291,223
261,"Ecole Elementaire ""Coudray""",839,423,25,41,423,2,1,420,239,181
262,"Ecole Elementaire ""Coudray""",872,418,32,45,418,1,1,416,189,227
263,"Ecole Elementaire ""Coudray""",815,445,27,37,445,0,7,438,219,219
264,"Ecole Elementaire ""Coudray""",890,425,22,46,426,3,4,419,226,193
271,"Ecole Maternelle ""Port Boyer""",874,348,8,52,348,6,1,341,167,174
272,"Ecole Maternelle ""Port Boyer""",909,426,13,48,426,0,4,422,199,223
273,"Ecole Maternelle ""Port Boyer""",805,397,20,40,398,2,4,392,166,226
274,"Ecole Maternelle ""Port Boyer""",874,501,21,37,501,5,2,494,281,213
275,"Ecole Maternelle ""Port Boyer""",816,372,3,44,372,3,2,367,191,176
311,"Ecole Elementaire ""Chêne d'Aron""",1050,500,16,55,500,2,1,497,231,266
312,"Ecole Elementaire ""Chêne d'Aron""",973,457,19,51,457,2,1,454,203,251
313,"Ecole Elementaire ""Chêne d'Aron""",960,440,15,52,440,1,1,438,238,200
314,"Ecole Elementaire ""Chêne d'Aron""",969,431,17,53,431,4,2,425,214,211
331,"Ecole Elementaire ""André Lermite""",938,448,18,48,449,2,1,446,187,259
332,"Ecole Elementaire ""André Lermite""",941,443,16,49,443,5,2,436,241,195
333,"Ecole Elementaire ""André Lermite""",894,421,23,47,421,7,1,413,239,174
334,"Ecole Elementaire ""André Lermite""",869,417,22,45,417,2,1,414,231,183
335,"Ecole Elementaire ""André Lermite""",835,367,22,46,367,1,0,366,229,137
341,"Ecole Elementaire ""Emile Péhant""",905,447,16,45,447,3,6,438,156,282
342,"Ecole Elementaire ""Emile Péhant""",857,402,19,45,402,2,3,397,157,240
343,"Ecole Elementaire ""Emile Péhant""",880,403,27,47,403,3,3,397,134,263
351,"Ecole Maternelle ""Gustave Roch""",862,378,10,48,378,3,3,372,173,199
352,"Ecole Maternelle ""Gustave Roch""",849,407,8,44,407,2,2,403,139,264
353,"Ecole Maternelle ""Gustave Roch""",875,341,6,53,341,3,0,338,134,204
354,"Ecole Maternelle ""Gustave Roch""",890,436,10,45,436,4,6,426,166,260
355,"Ecole Maternelle ""Gustave Roch""",946,461,22,48,461,3,2,456,204,252
361,"Ecole Maternelle ""Louise Michel""",967,443,11,52,446,0,5,439,177,262
362,"Ecole Maternelle ""Louise Michel""",865,441,8,42,441,0,6,435,214,221
363,"Ecole Maternelle ""Louise Michel""",860,335,6,52,335,4,2,329,139,190
364,"Ecole Maternelle ""Louise Michel""",989,449,12,54,449,3,3,443,188,255
365,"Ecole Maternelle ""Louise Michel""",791,276,4,51,276,3,1,272,110,162
371,"Ecole Maternelle ""Jacques Tati""",845,349,7,49,349,0,1,348,153,195
372,"Ecole Maternelle ""Jacques Tati""",824,307,7,51,307,2,0,305,118,187
373,"Ecole Maternelle ""Jacques Tati""",841,380,15,46,380,1,3,376,173,203
381,"Ecole Elementaire ""Ledru Rollin""",808,344,5,46,344,3,1,340,133,207
382,"Ecole Elementaire ""Ledru Rollin""",884,434,15,45,434,3,0,431,167,264
383,"Ecole Elementaire ""Ledru Rollin""",914,493,14,42,493,3,4,486,207,279
384,"Ecole Elementaire ""Ledru Rollin""",925,439,10,48,439,3,1,435,182,253
385,"Ecole Elementaire ""Ledru Rollin""",908,471,9,43,471,0,2,469,194,275
411,"Ecole ""Harouys""",542,251,7,29,251,0,0,251,117,134
412,"Ecole Maternelle ""Harouys""",705,333,14,37,333,2,2,329,184,145
413,"Ecole Maternelle ""Harouys""",882,446,39,43,446,4,1,441,253,188
414,"Ecole Maternelle ""Harouys""",775,358,15,41,358,0,0,358,248,110
415,"Ecole Maternelle ""Harouys""",795,419,17,37,419,4,3,412,273,139
416,"Ecole ""Harouys""",825,356,18,46,356,0,0,356,157,199
421,"Ecole Elémentaire ""Boccage""",857,428,5,42,428,6,3,419,248,171
422,"Ecole Elémentaire ""Boccage""",899,429,22,47,429,0,4,425,251,174
423,"Ecole Elémentaire ""Boccage""",923,474,18,44,474,3,1,470,290,180
424,"Ecole Elémentaire ""Boccage""",868,438,6,43,438,3,2,433,208,225
425,"Ecole Elémentaire ""Boccage""",876,422,20,45,422,0,8,414,166,248
431,"Ecole ""Mutualité""",935,477,33,45,478,4,2,472,241,231
432,"Ecole Elementaire ""Mutualité""",873,409,17,46,409,2,3,404,177,227
433,"Ecole Elementaire ""Mutualité""",918,532,68,38,532,6,2,524,201,323
434,"Ecole Elementaire ""Mutualité""",922,442,11,48,442,3,3,436,220,216
441,"Ecole Elementaire ""Garennes""",925,447,15,47,447,1,1,445,226,219
442,"Ecole Elementaire ""Garennes""",886,397,15,48,397,1,2,394,172,222
443,"Ecole Elementaire ""Garennes""",854,356,15,49,356,2,3,351,148,203
444,"Ecole Elementaire ""Garennes""",935,418,11,51,418,1,7,410,161,249
445,"Ecole Elementaire ""Garennes""",814,434,16,38,434,1,3,430,153,277
451,"Ecole Primaire ""Réformes""",890,443,26,44,443,2,2,439,158,281
452,"Ecole Primaire ""Réformes""",933,537,33,39,537,0,4,533,215,318
453,"Ecole Primaire ""Réformes""",961,512,26,44,512,0,1,511,186,325
461,"Ecole Maternelle ""Plessis-Cellier""",888,466,12,42,466,5,0,461,209,252
462,"Ecole Maternelle ""Plessis-Cellier""",886,473,21,41,472,1,0,471,198,273
